#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Xylella fastidiosa Temecula1","Bacteria;Proteobacteria;Gammaproteobacteria","Temecula1","SAMN02603844","PRJNA285","GCA_000007245.1","Complete",2.52115,51.8011,"chromosome:NC_004556.1/AE009442.1; plasmid pXFPD1.3:NC_004554.1/AE009443.1",,2,2142,"2003-01-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/245/GCA_000007245.1_ASM724v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/245/GCF_000007245.1_ASM724v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 35879","SAMN12837460","PRJNA574207","GCA_011801475.1","Complete",2.60726,51.7632,"chromosome:NZ_CP044352.1/CP044352.1; plasmid pXF879-41:NZ_CP044353.1/CP044353.1",,2,2224,"2020-03-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/801/475/GCA_011801475.1_ASM1180147v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/801/475/GCF_011801475.1_ASM1180147v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Hib4","SAMN03173341","PRJNA266708","GCA_001456315.1","Complete",2.87755,52.6911,"chromosome:NZ_CP009885.1/CP009885.1; plasmid pXF64-HB:NZ_CP009886.1/CP009886.1",,2,2528,"2015-12-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/315/GCF_001456315.1_ASM145631v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","J1a12","SAMN03166204","PRJNA236207","GCA_001456235.1","Complete",2.86724,52.8078,"chromosome:NZ_CP009823.1/CP009823.1; plasmid pXF27-J1:NZ_CP009824.1/CP009824.1; plasmid pXF51-J1:NZ_CP009825.1/CP009825.1",,3,2504,"2015-12-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/235/GCF_001456235.1_ASM145623v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","3124","SAMN03166214","PRJNA266562","GCA_001456195.2","Complete",2.74859,52.6,"chromosome:NZ_CP009829.2/CP009829.2",,1,2363,"2015-12-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/195/GCF_001456195.2_ASM145619v2"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","U24D","SAMN03154423","PRJNA266001","GCA_001456275.1","Complete",2.73249,52.642,"chromosome:NZ_CP009790.1/CP009790.1; plasmid pXF51ud:NZ_CP009791.1/CP009791.1",,2,2333,"2015-12-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/275/GCF_001456275.1_ASM145627v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Pr8x","SAMN03166213","PRJNA266561","GCA_001456295.2","Complete",2.70582,52.5547,"chromosome:NZ_CP009826.2/CP009826.2; plasmid pXF39:NZ_CP009827.1/CP009827.1",,2,2328,"2015-12-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/295/GCF_001456295.2_ASM145629v2"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Salento-2","SAMN05429914","PRJNA330904","GCA_002954205.1","Complete",2.54357,51.9667,"chromosome:NZ_CP016610.1/CP016610.1; plasmid pSal2:NZ_CP016611.1/CP016611.1",,2,2160,"2018-02-27T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/205/GCF_002954205.1_ASM295420v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Salento-1","SAMN05429913","PRJNA330904","GCA_002954185.1","Complete",2.54337,51.9667,"chromosome:NZ_CP016608.1/CP016608.1; plasmid pSal1:NZ_CP016609.1/CP016609.1",,2,2126,"2018-02-27T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/185/GCF_002954185.1_ASM295418v1"
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","RH1","SAMN14680502","PRJNA627683","GCA_012974125.1","Complete",2.67842,52.2,"chromosome:NZ_CP052853.1/CP052853.1",,1,2345,"2020-05-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/974/125/GCA_012974125.1_ASM1297412v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/125/GCF_012974125.1_ASM1297412v1"
